img_id,turn_index,source_img,target_img,instruction
540097,3,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/540097-output2.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/540097-output3.png,let the chairs be red
123035,1,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/123035-input.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/123035-output1.png,Make them both cooked.
123035,2,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/123035-output1.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/123035-output2.png,Get rid of the toppings on the top pizza.
123035,3,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/123035-output2.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/123035-output3.png,Add a pizza cutter.
442231,1,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/442231-input.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/442231-output1.png,make the man bite into the pizza
442231,2,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/442231-output1.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/442231-output2.png,let the guy have braided hair
442231,3,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/442231-output2.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/442231-output3.png,let the man hold the pizza with both hands
190052,1,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/190052-input.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/190052-output1.png,let the glass vase be turned into a pot
190052,2,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/190052-output1.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/190052-output2.png,remove the chairs
149406,1,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/149406-input.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/149406-output1.png,Replace the old motorcycle with an old bicycle.
149406,2,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/149406-output1.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/149406-output2.png,Place a skateboard next to the bicycle.
149406,3,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/149406-output2.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/149406-output3.png,There should be a poster of a panda on the windows.
394900,1,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/394900-input.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/394900-output1.png,Let the middle back Teddy bear wear a short dress.
189648,1,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/189648-input.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/189648-output1.png,Change the bowl of soup to a bowl of white rice
230739,1,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/230739-input.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/230739-output1.png,let there be a rain forest instead of a city
484847,1,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/484847-input.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/484847-output1.png,put a laptop on the table
484847,2,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/484847-output1.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/484847-output2.png,put throw pillows on the couch
168533,1,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/168533-input.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/168533-output1.png,let there be chinese lanterns
168533,2,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/168533-output1.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/168533-output2.png,let there be a US flag on the post
168533,3,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/168533-output2.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/168533-output3.png,let there be a flying rocket
560178,1,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/560178-input.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/560178-output1.png,Make the radish a carrot.
442009,1,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/442009-input.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/442009-output1.png,let the bathtub be red
442009,2,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/442009-output1.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/442009-output2.png,change the ocean to a park
442009,3,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/442009-output2.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/442009-output3.png,add a duck
519112,1,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/519112-input.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/519112-output1.png,let the piece of food be a fish
519112,2,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/519112-output1.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/519112-output2.png,add a flower pot
519112,3,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/519112-output2.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/519112-output3.png,let the bear wear a hat
395426,1,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/395426-input.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/395426-output1.png,let a man be angry and shout
395426,2,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/395426-output1.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/395426-output2.png,replace the couch with bar stools
395426,3,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/395426-output2.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/395426-output3.png,let there be a still life painting
450584,1,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/450584-input.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/450584-output1.png,change the flowers to red color
450584,2,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/450584-output1.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/450584-output2.png,add a phone next to the beaker
270722,1,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/270722-input.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/270722-output1.png,make a cub race with the bear down a street
270722,2,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/270722-output1.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/270722-output2.png,make a boy sit on the bear
270722,3,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/270722-output2.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/270722-output3.png,let a bird chase the bear
273420,1,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/273420-input.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/273420-output1.png,Remove the person.
279710,1,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/279710-input.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/279710-output1.png,change the skateboard into a stilt
279710,2,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/279710-output1.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/279710-output2.png,let the man be bald
44017,1,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/44017-input.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/44017-output1.png,let there be fireworks in the sky
44017,2,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/44017-output1.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/44017-output2.png,remove the neon lights
253177,1,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/253177-input.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/253177-output1.png,let the time on the clock show six o' clock
253177,2,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/253177-output1.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/253177-output2.png,change the horse painting into a giraffe painting
253177,3,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/253177-output2.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/253177-output3.png,let the wall have a geometric wallpaper
342377,1,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/342377-input.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/342377-output1.png,Put some fish on the table.
342377,2,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/342377-output1.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/342377-output2.png,Can we put everything into a fish market?
418944,1,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/418944-input.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/418944-output1.png,what if the girl has glasses?
24591,1,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/24591-input.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/24591-output1.png,What if there is a child by the man's side.
131099,1,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/131099-input.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/131099-output1.png,Let the wooden bench be changed to a metal one.
530457,1,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/530457-input.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/530457-output1.png,Change the tulips to roses.
530457,2,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/530457-output1.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/530457-output2.png,Make the vase sit on a marble table top.
530457,3,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/530457-output2.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/530457-output3.png,Make a card beside the vase.
443741,1,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/443741-input.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/443741-output1.png,put a mask on the man
443741,2,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/443741-output1.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/443741-output2.png,make the woman's hair blue
417164,1,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/417164-input.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/417164-output1.png,remove the parking meter and put a penguin with skiis in the photo
435576,1,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/435576-input.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/435576-output1.png,Give the man a beard.
435576,2,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/435576-output1.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/435576-output2.png,The table should be full of pots and pans.
511420,1,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/511420-input.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/511420-output1.png,let a woman sit inside the train
511420,2,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/511420-output1.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/511420-output2.png,let there be people waiting with bags at the station
511420,3,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/511420-output2.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/511420-output3.png,let the train have glass doors
349918,1,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/349918-input.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/349918-output1.png,Let the chair be yellow.
364102,1,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/364102-input.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/364102-output1.png,Replace the frisbee with a ball.
364102,2,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/364102-output1.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/364102-output2.png,Replace the grass with asphalt.
557084,1,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/557084-input.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/557084-output1.png,What if the woman on the side of the bus was holding a baby?
419297,1,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/419297-input.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/419297-output1.png,let the man wear a tuxedo
398172,1,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/398172-input.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/398172-output1.png,Let the elephant spray water with its trunk.
73757,1,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/73757-input.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/73757-output1.png,Get rid of the wine glass
73757,2,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/73757-output1.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/73757-output2.png,turn the flowers into candles
73757,3,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/73757-output2.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/73757-output3.png,add fireworks
545734,1,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/545734-input.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/545734-output1.png,Have there be a painting of a flower on the wall
545734,2,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/545734-output1.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/545734-output2.png,Have there be a bee in the flower painting
545734,3,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/545734-output2.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/545734-output3.png,Have there be a loaf of bread next to the toaster
339245,1,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/339245-input.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/339245-output1.png,Replace the catcher's mitt with a boxing glove.
10766,1,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/10766-input.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/10766-output1.png,What if she had a sad face?
10766,2,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/10766-output1.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/10766-output2.png,What if the child was blonde?
8211,1,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/8211-input.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/8211-output1.png,Add a dog.
8211,2,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/8211-output1.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/8211-output2.png,Put a pothole in the street.
424470,1,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/424470-input.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/424470-output1.png,Let a man sit on the chair.
344138,1,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/344138-input.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/344138-output1.png,Make the sandwich whole.
344138,2,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/344138-output1.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/344138-output2.png,Turn the chips into fries.
344138,3,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/344138-output2.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/344138-output3.png,Add some sauce to the plate.
247519,1,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/247519-input.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/247519-output1.png,Let the man sip the drink.
465327,1,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/465327-input.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/465327-output1.png,Remove the jars.
465327,2,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/465327-output1.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/465327-output2.png,Place a plate with a burger on the counter.
195991,1,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/195991-input.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/195991-output1.png,A hot air balloon should also be floating.
195991,2,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/195991-output1.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/195991-output2.png,An airplane should also be flying.
139258,1,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/139258-input.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/139258-output1.png,let the bag be red
139258,2,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/139258-output1.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/139258-output2.png,let the doors be red
139258,3,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/139258-output2.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/139258-output3.png,add a calendar on the wall
112011,1,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/112011-input.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/112011-output1.png,let the cat show his teeth
112011,2,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/112011-output1.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/112011-output2.png,make the cat look to the side
112011,3,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/112011-output2.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/112011-output3.png,make the cat stand
15197,1,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/15197-input.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/15197-output1.png,Have the laptop be showing a picture of a dragon
338078,1,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/338078-input.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/338078-output1.png,Have there be a gorilla crossing the road
338078,2,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/338078-output1.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/338078-output2.png,Have the sky be full of lightning
338078,3,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/338078-output2.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/338078-output3.png,Have the gorilla be playing a guitar
381257,1,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/381257-input.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/381257-output1.png,let the drawing pad have a colorful sketch
381257,2,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/381257-output1.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/381257-output2.png,let the keyboard have backlit keys
381257,3,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/381257-output2.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/381257-output3.png,let the bowl have beef stew
88412,1,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/88412-input.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/88412-output1.png,Let the jersey number be changed to 5.
21217,1,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/21217-input.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/21217-output1.png,put cereal in bowl instead of the applesauce
21217,2,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/21217-output1.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/21217-output2.png,change one of the apples for an corn cob
352276,1,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/352276-input.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/352276-output1.png,have the cow eat from a pile of carrots.
